Sir4conc	wt	rap1	sir1	H3K79M
0.059	0.5358399030725263	0.4244879490581913	0.36107984000935955	0.0
0.069	0.6625114643177739	0.4485275450217843	0.3742110264065661	0.0
0.078	0.7232834349587484	0.5010673828983156	0.37905432236977477	0.0
0.088	0.8129814584140682	0.5575902174401615	0.39152539370813993	0.0
0.097	0.8584725283021363	0.6600016922808737	0.400614299907716	0.0
0.101	0.8706562006346577	0.6546730687603786	0.44279061095855293	0.0
0.116	0.8844872392639774	0.9533315693497387	0.8502956167578698	0.0
0.125	0.8896485219813252	0.9543213705300627	0.8540143837613569	0.0
0.144	0.8821553098572685	0.9330722632244096	0.9264016204977683	0.0
0.168	0.8113435830146101	0.9299720512634105	0.972882473146251	0.0
0.192	0.7673244509934742	0.9116263596688127	0.9593439492040409	0.0
0.239	0.6994804365126708	0.8349329924527078	0.9507753059315422	0.0
0.286	0.6751148167560516	0.762082140660819	0.9301454810187374	0.0
0.333	0.653041965811093	0.7180267532624529	0.8860427454626707	0.0
0.38	0.6410533159011543	0.6793512185862839	0.8447033864457505	0.0
0.427	0.6258567746350442	0.6613055059919835	0.797159608532878	0.0
