Sir4conc	wt	rap1	sir1
0.059433962264150944	0.21816940043665	0.32987205857990964	0.3104845801594735
0.06886792452830189	0.3897115170967927	0.3405897943948056	0.1489102070998423
0.07830188679245284	0.5788392567375771	0.3430013910885785	0.361419021012526
0.08773584905660378	0.6366727962967528	0.29981334685757505	0.2957888209660196
0.09716981132075472	0.6307782677455903	0.309273039608908	0.3977864562256525
0.10660377358490566	0.6485474962012645	0.49932485306013863	0.37622524661055085
0.1160377358490566	0.6315477658250084	0.6016199925904986	0.30264903022219786
0.12547169811320755	0.7202602408184865	0.6926234753859193	0.20196000714233425
0.14433962264150946	0.7724392231530502	0.7333651305895201	0.43007951895693497
0.1679245283018868	0.7073253413956934	0.6208549091090969	0.5077000281553513
0.19150943396226416	0.5258725882923461	0.7619565020142203	0.7405708461362878
0.23867924528301887	0.17329713892157	0.7122278232808038	0.7135796444604994
0.2858490566037736	0.2250397339440905	0.41022536110458013	0.7830719889139113
0.3330188679245283	0.17159240642152201	0.2974915587675518	0.7384397613279413
0.380188679245283	0.18948581196153177	0.20108567848486597	0.5981943147233484
0.42735849056603775	0.3112147604720413	0.10051248183945721	0.6824894191076868
